trigram,count,frequency
  awl,8,0.000
  awm,2,0.000
  awn,18,0.000
  awo,3,0.000
  awp,1,0.000
  awq,0,0.000
  awr,1,0.000
  aws,3,0.000
  awt,0,0.000
  awu,1,0.000
  awv,0,0.000
  aww,0,0.000
  awx,0,0.000
  awy,3,0.000
  awz,1,0.000
  axa,0,0.000
  axb,0,0.000
  axc,0,0.000
  axd,0,0.000
  axe,4,0.000
  axf,0,0.000
  axg,0,0.000
  axh,0,0.000
  axi,8,0.000
  axj,0,0.000
  axk,0,0.000
  axl,2,0.000
  axm,1,0.000
  axn,0,0.000
  axo,5,0.000
  axp,0,0.000
  axq,0,0.000
  axr,0,0.000
  axs,0,0.000
  axt,0,0.000
  axu,1,0.000
  axv,0,0.000
  axw,0,0.000
  axx,0,0.000
  axy,4,0.000
  axz,0,0.000
  aya,18,0.000
  ayb,1,0.000
  ayc,0,0.000
  ayd,1,0.000
  aye,13,0.000
  ayf,0,0.000
  ayg,0,0.000
  ayh,0,0.000
  ayi,4,0.000
  ayj,0,0.000
  ayk,0,0.000
  ayl,2,0.000
  aym,0,0.000
  ayn,5,0.000
  ayo,8,0.000
  ayp,0,0.000
  ayq,0,0.000
  ayr,1,0.000
  ays,2,0.000
  ayt,0,0.000
  ayu,0,0.000
  ayv,0,0.000
  ayw,0,0.000
  ayx,0,0.000
  ayy,0,0.000
  ayz,0,0.000
  aza,5,0.000
  azb,0,0.000
  azc,0,0.000
  azd,1,0.000
  aze,26,0.001
  azf,0,0.000
  azg,0,0.000
  azh,0,0.000
  azi,9,0.000
  azj,0,0.000
  azk,0,0.000
  azl,1,0.000
  azm,0,0.000
  azn,0,0.000
  azo,13,0.000
  azp,0,0.000
  azq,0,0.000
  azr,0,0.000
  azs,0,0.000
  azt,1,0.000
  azu,4,0.000
  azv,0,0.000
  azw,0,0.000
  azx,0,0.000
  azy,5,0.000
  azz,1,0.000
  baa,0,0.000
  bab,9,0.000
  bac,8,0.000
  bad,4,0.000
  bae,1,0.000
  baf,4,0.000
  bag,6,0.000
  bah,10,0.000
  bai,5,0.000
  baj,4,0.000
  bak,8,0.000
  bal,27,0.001
  bam,1,0.000
  ban,37,0.001
  bao,0,0.000
  bap,0,0.000
  baq,0,0.000
  bar,34,0.001
  bas,20,0.000
  bat,22,0.000
  bau,6,0.000
  bav,2,0.000
  baw,1,0.000
  bax,0,0.000
  bay,10,0.000
  baz,2,0.000
  bba,8,0.000
  bbb,0,0.000
  bbc,0,0.000
  bbd,0,0.000
  bbe,4,0.000
  bbf,0,0.000
  bbg,0,0.000
  bbh,0,0.000
  bbi,4,0.000
  bbj,0,0.000
  bbk,0,0.000
  bbl,0,0.000
  bbm,0,0.000
  bbn,0,0.000
  bbo,2,0.000
  bbp,0,0.000
  bbq,0,0.000
  bbr,0,0.000
  bbs,0,0.000
  bbt,0,0.000
  bbu,1,0.000
  bbv,0,0.000
  bbw,0,0.000
  bbx,0,0.000
  bby,38,0.001
  bbz,0,0.000
  bca,0,0.000
  bcb,0,0.000
  bcc,0,0.000
  bcd,0,0.000
  bce,0,0.000
  bcf,0,0.000
  bcg,0,0.000
  bch,0,0.000
  bci,0,0.000
  bcj,0,0.000
  bck,0,0.000
  bcl,0,0.000
  bcm,0,0.000
  bcn,0,0.000
  bco,0,0.000
  bcp,0,0.000
  bcq,0,0.000
  bcr,0,0.000
  bcs,0,0.000
  bct,0,0.000
  bcu,0,0.000
  bcv,0,0.000
  bcw,0,0.000
  bcx,0,0.000
  bcy,0,0.000
  bcz,0,0.000
  bda,3,0.000
  bdb,0,0.000
  bdc,0,0.000
  bdd,0,0.000
  bde,0,0.000
  bdf,0,0.000
  bdg,0,0.000
  bdh,0,0.000
  bdi,0,0.000
  bdj,0,0.000
  bdk,0,0.000
  bdl,0,0.000
  bdm,0,0.000
  bdn,0,0.000
  bdo,0,0.000
  bdp,0,0.000
  bdq,0,0.000
  bdr,0,0.000
  bds,0,0.000
  bdt,0,0.000
  bdu,0,0.000
  bdv,0,0.000
  bdw,0,0.000
  bdx,0,0.000
  bdy,0,0.000
  bdz,0,0.000
  bea,19,0.000
  beb,7,0.000
  bec,6,0.000
  bed,21,0.000
  bee,8,0.000
  bef,4,0.000
  beg,13,0.000
  beh,2,0.000
  bei,6,0.000
  bej,3,0.000
  bek,3,0.000
  bel,24,0.000
  bem,7,0.000
  ben,15,0.000
  beo,1,0.000
  bep,4,0.000
  beq,0,0.000
  ber,31,0.001
  bes,16,0.000
  bet,13,0.000
  beu,0,0.000
  bev,3,0.000
  bew,2,0.000
  bex,1,0.000
  bey,2,0.000
  bez,3,0.000
  bfa,0,0.000
  bfb,0,0.000
  bfc,0,0.000
  bfd,0,0.000
  bfe,0,0.000
  bff,0,0.000
  bfg,0,0.000
  bfh,0,0.000
  bfi,0,0.000
  bfj,0,0.000
  bfk,0,0.000
  bfl,0,0.000
  bfm,0,0.000
  bfn,0,0.000
  bfo,0,0.000
  bfp,0,0.000
  bfq,0,0.000
  bfr,0,0.000
  bfs,0,0.000
  bft,0,0.000
  bfu,0,0.000
  bfv,0,0.000
  bfw,0,0.000
  bfx,0,0.000
  bfy,0,0.000
  bfz,0,0.000
  bga,0,0.000
  bgb,0,0.000
  bgc,0,0.000
  bgd,0,0.000
  bge,0,0.000
  bgf,0,0.000
  bgg,0,0.000
  bgh,0,0.000
  bgi,0,0.000
  bgj,0,0.000
  bgk,0,0.000
  bgl,0,0.000
  bgm,0,0.000
  bgn,0,0.000
  bgo,0,0.000
  bgp,0,0.000
  bgq,0,0.000
  bgr,0,0.000
  bgs,0,0.000
  bgt,0,0.000
  bgu,0,0.000
  bgv,0,0.000
  bgw,0,0.000
  bgx,0,0.000
  bgy,0,0.000
  bgz,0,0.000
  bha,5,0.000
  bhb,0,0.000
  bhc,0,0.000
  bhd,0,0.000
  bhe,1,0.000
  bhf,0,0.000
  bhg,0,0.000
  bhh,0,0.000
  bhi,2,0.000
  bhj,0,0.000
  bhk,0,0.000
  bhl,0,0.000
  bhm,0,0.000
  bhn,0,0.000
  bho,1,0.000
  bhp,0,0.000
  bhq,0,0.000
  bhr,0,0.000
  bhs,0,0.000
  bht,0,0.000
  bhu,0,0.000
  bhv,0,0.000
  bhw,0,0.000
  bhx,0,0.000
  bhy,0,0.000
  bhz,0,0.000
  bia,11,0.000
  bib,2,0.000
  bic,7,0.000
  bid,14,0.000
  bie,3,0.000
  bif,2,0.000
  big,4,0.000
  bih,3,0.000
  bii,0,0.000
  bij,1,0.000
  bik,3,0.000
  bil,15,0.000
  bim,0,0.000
  bin,10,0.000
  bio,7,0.000
  bip,2,0.000
  biq,0,0.000
  bir,10,0.000
  bis,4,0.000
  bit,10,0.000
  biu,1,0.000
  biv,0,0.000
  biw,0,0.000
  bix,2,0.000
  biy,0,0.000
  biz,2,0.000
  bja,0,0.000
  bjb,0,0.000
  bjc,0,0.000
  bjd,0,0.000
  bje,0,0.000
  bjf,0,0.000
  bjg,0,0.000
  bjh,0,0.000
  bji,0,0.000
  bjj,0,0.000
  bjk,0,0.000
  bjl,0,0.000
  bjm,0,0.000
  bjn,0,0.000
  bjo,0,0.000
  bjp,0,0.000
  bjq,0,0.000
  bjr,0,0.000
  bjs,0,0.000
  bjt,0,0.000
  bju,0,0.000
  bjv,0,0.000
  bjw,0,0.000
  bjx,0,0.000
  bjy,0,0.000
  bjz,0,0.000
  bka,1,0.000
  bkb,0,0.000
  bkc,0,0.000
  bkd,0,0.000
  bke,0,0.000
  bkf,0,0.000
  bkg,0,0.000
  bkh,0,0.000
  bki,0,0.000
  bkj,0,0.000
  bkk,0,0.000
  bkl,0,0.000
  bkm,0,0.000
  bkn,0,0.000
  bko,0,0.000
  bkp,0,0.000
  bkq,0,0.000
  bkr,0,0.000
  bks,0,0.000
  bkt,0,0.000
  bku,0,0.000
  bkv,0,0.000
  bkw,0,0.000
  bkx,0,0.000
  bky,0,0.000
  bkz,0,0.000
  bla,25,0.000
  blb,0,0.000
  blc,0,0.000
  bld,0,0.000
  ble,25,0.000
  blf,0,0.000
  blg,0,0.000
  blh,0,0.000
  bli,10,0.000
  blj,0,0.000
  blk,0,0.000
  bll,0,0.000
  blm,0,0.000
  bln,0,0.000
  blo,13,0.000
  blp,0,0.000
  blq,0,0.000
  blr,0,0.000
  bls,0,0.000
  blt,0,0.000
  blu,10,0.000
  blv,0,0.000
  blw,0,0.000
  blx,0,0.000
  bly,3,0.000
  blz,0,0.000
  bma,0,0.000
  bmb,0,0.000
  bmc,0,0.000
  bmd,0,0.000
  bme,0,0.000
  bmf,0,0.000
  bmg,0,0.000
  bmh,1,0.000
  bmi,0,0.000
  bmj,0,0.000
  bmk,0,0.000
  bml,0,0.000
  bmm,0,0.000
  bmn,0,0.000
  bmo,0,0.000
  bmp,0,0.000
  bmq,0,0.000
  bmr,0,0.000
  bms,0,0.000
  bmt,0,0.000
  bmu,0,0.000
  bmv,0,0.000
  bmw,0,0.000
  bmx,0,0.000
  bmy,0,0.000
  bmz,0,0.000
  bna,0,0.000
  bnb,0,0.000
  bnc,0,0.000
  bnd,0,0.000
  bne,2,0.000
  bnf,0,0.000
  bng,0,0.000
  bnh,0,0.000
  bni,0,0.000
  bnj,0,0.000
  bnk,0,0.000
  bnl,0,0.000
  bnm,0,0.000
  bnn,0,0.000
  bno,0,0.000
  bnp,0,0.000
  bnq,0,0.000
  bnr,0,0.000
  bns,0,0.000
  bnt,0,0.000
  bnu,0,0.000
  bnv,0,0.000
  bnw,0,0.000
  bnx,0,0.000
  bny,0,0.000
  bnz,0,0.000
  boa,3,0.000
  bob,6,0.000
  boc,5,0.000
  bod,7,0.000
  boe,0,0.000
  bof,0,0.000
  bog,12,0.000
  boh,3,0.000
  boi,4,0.000
  boj,0,0.000
  bok,1,0.000
  bol,11,0.000
  bom,2,0.000
  bon,13,0.000
  boo,19,0.000
  bop,2,0.000
  boq,0,0.000
  bor,22,0.000
  bos,7,0.000
  bot,8,0.000
  bou,11,0.000
  bov,2,0.000
  bow,12,0.000
  box,7,0.000
  boy,6,0.000
  boz,2,0.000
  bpa,0,0.000
  bpb,0,0.000
  bpc,0,0.000
  bpd,0,0.000
  bpe,0,0.000
  bpf,0,0.000
  bpg,0,0.000
  bph,0,0.000
  bpi,0,0.000
  bpj,0,0.000
  bpk,0,0.000
  bpl,0,0.000
  bpm,0,0.000
  bpn,0,0.000
  bpo,0,0.000
  bpp,0,0.000
  bpq,0,0.000
  bpr,0,0.000
  bps,0,0.000
  bpt,0,0.000
  bpu,0,0.000
  bpv,0,0.000
  bpw,0,0.000
  bpx,0,0.000
  bpy,0,0.000
  bpz,0,0.000
  bqa,0,0.000
  bqb,0,0.000
  bqc,0,0.000
  bqd,0,0.000
  bqe,0,0.000
  bqf,0,0.000
  bqg,0,0.000
  bqh,0,0.000
  bqi,0,0.000
  bqj,0,0.000
  bqk,0,0.000
  bql,0,0.000
  bqm,0,0.000
  bqn,0,0.000
  bqo,0,0.000
  bqp,0,0.000
  bqq,0,0.000
  bqr,0,0.000
  bqs,0,0.000
  bqt,0,0.000
  bqu,0,0.000
  bqv,0,0.000
  bqw,0,0.000
  bqx,0,0.000
  bqy,0,0.000
  bqz,0,0.000
  bra,40,0.001
  brb,0,0.000
  brc,0,0.000
  brd,0,0.000
  bre,18,0.000
  brf,0,0.000
  brg,0,0.000
  brh,0,0.000
  bri,20,0.000
  brj,0,0.000
  brk,0,0.000
  brl,0,0.000
  brm,0,0.000
  brn,0,0.000
  bro,20,0.000
  brp,0,0.000
  brq,0,0.000
  brr,0,0.000
  brs,0,0.000
  brt,0,0.000
  bru,14,0.000
  brv,0,0.000
  brw,0,0.000
  brx,0,0.000
  bry,5,0.000
  brz,0,0.000
  bsa,0,0.000
  bsb,0,0.000
  bsc,0,0.000
  bsd,0,0.000
  bse,0,0.000
  bsf,0,0.000
  bsg,0,0.000
  bsh,0,0.000
  bsi,1,0.000
  bsj,0,0.000
  bsk,0,0.000
  bsl,0,0.000
  bsm,0,0.000
  bsn,0,0.000
  bso,0,0.000
  bsp,0,0.000
  bsq,0,0.000
  bsr,0,0.000
  bss,0,0.000
  bst,0,0.000
  bsu,0,0.000
  bsv,0,0.000
  bsw,0,0.000
  bsx,0,0.000
  bsy,1,0.000
  bsz,0,0.000
  bta,0,0.000
  btb,0,0.000
  btc,0,0.000
  btd,0,0.000
  bte,0,0.000
  btf,0,0.000
  btg,0,0.000
  bth,0,0.000
  bti,1,0.000
  btj,0,0.000
  btk,0,0.000
  btl,0,0.000
  btm,0,0.000
  btn,0,0.000
  bto,0,0.000
  btp,0,0.000
  btq,0,0.000
  btr,0,0.000
  bts,0,0.000
  btt,0,0.000
  btu,0,0.000
  btv,0,0.000
  btw,0,0.000
  btx,0,0.000
  bty,0,0.000
  btz,0,0.000
  bua,2,0.000
  bub,4,0.000
  buc,6,0.000
  bud,5,0.000
  bue,1,0.000
  buf,1,0.000
  bug,4,0.000
  buh,0,0.000
  bui,3,0.000
  buj,0,0.000
  buk,1,0.000
  bul,10,0.000
  bum,4,0.000
  bun,13,0.000
  buo,0,0.000
  bup,0,0.000
  buq,0,0.000
  bur,21,0.000
  bus,16,0.000
  but,14,0.000
  buu,0,0.000
  buv,0,0.000
  buw,0,0.000
  bux,2,0.000
  buy,3,0.000
  buz,2,0.000
  bva,0,0.000
  bvb,0,0.000
  bvc,0,0.000
  bvd,0,0.000
  bve,0,0.000
  bvf,0,0.000
  bvg,0,0.000
  bvh,0,0.000
  bvi,0,0.000
  bvj,0,0.000
  bvk,0,0.000
  bvl,0,0.000
  bvm,0,0.000
  bvn,0,0.000
  bvo,0,0.000
  bvp,0,0.000
  bvq,0,0.000
  bvr,0,0.000
  bvs,0,0.000
  bvt,0,0.000
  bvu,0,0.000
  bvv,0,0.000
  bvw,0,0.000
  bvx,0,0.000
  bvy,0,0.000
  bvz,0,0.000
  bwa,1,0.000
  bwb,0,0.000
  bwc,0,0.000
  bwd,0,0.000
  bwe,0,0.000
  bwf,0,0.000
  bwg,0,0.000
  bwh,0,0.000
  bwi,0,0.000
  bwj,0,0.000
  bwk,0,0.000
  bwl,0,0.000
  bwm,0,0.000
  bwn,0,0.000
  bwo,0,0.000
  bwp,0,0.000
  bwq,0,0.000
  bwr,0,0.000
  bws,0,0.000
  bwt,0,0.000
  bwu,0,0.000
  bwv,0,0.000
  bww,0,0.000
  bwx,0,0.000
  bwy,0,0.000
  bwz,0,0.000
  bxa,0,0.000
  bxb,0,0.000
  bxc,0,0.000
  bxd,0,0.000
  bxe,0,0.000
  bxf,0,0.000
  bxg,0,0.000
  bxh,0,0.000
  bxi,0,0.000
  bxj,0,0.000
  bxk,0,0.000
  bxl,0,0.000
  bxm,0,0.000
  bxn,0,0.000
  bxo,0,0.000
  bxp,0,0.000
  bxq,0,0.000
  bxr,0,0.000
  bxs,0,0.000
  bxt,0,0.000
  bxu,0,0.000
  bxv,0,0.000
  bxw,0,0.000
  bxx,0,0.000
  bxy,0,0.000
  bxz,0,0.000
  bya,0,0.000
  byb,0,0.000
  byc,0,0.000
  byd,0,0.000
  bye,0,0.000
  byf,0,0.000
  byg,0,0.000
  byh,0,0.000
  byi,0,0.000
  byj,0,0.000
  byk,0,0.000
  byl,2,0.000
  bym,0,0.000
  byn,2,0.000
  byo,1,0.000
  byp,0,0.000
  byq,0,0.000
  byr,1,0.000
  bys,3,0.000
  byt,0,0.000
  byu,0,0.000
  byv,0,0.000
  byw,1,0.000
  byx,0,0.000
  byy,0,0.000
  byz,0,0.000
  bza,0,0.000
  bzb,0,0.000
  bzc,0,0.000
  bzd,0,0.000
  bze,0,0.000
  bzf,0,0.000
  bzg,0,0.000
  bzh,0,0.000
  bzi,1,0.000
  bzj,0,0.000
  bzk,0,0.000
  bzl,0,0.000
  bzm,0,0.000
  bzn,0,0.000
  bzo,0,0.000
  bzp,0,0.000
  bzq,0,0.000
  bzr,0,0.000
  bzs,0,0.000
  bzt,0,0.000
  bzu,0,0.000
